OBJECTID,SampleID,Ename,ID_Number,Peviously_Marked,Marked_mussel,Status,Sex,Gravidity,Age,Length,Height,VoucherLocation,VoucherType,ZebrasAttached,Comments,Northing,Easting,Method,NumberLive,NUM5YEAR,NumZebrasAttached1,PerZebraCoverage1,Listed_old,Tolerant_old,Lampsilini_old,Juveniles_old,Over_15yrs_old,tribe_old
33,201009211411.000000000000000,Potamilus alatus,,No,No,Sub-Fossil,,,,,,,,,,4743580.016899999231100,655338.015100000426173,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
34,201009211411.000000000000000,Lampsilis cardium,,No,No,Sub-Fossil,,,,,,,,,,4743580.016899999231100,655338.015100000426173,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
35,201009211412.000000000000000,Amblema plicata,,No,No,Live,,,7,55,54,,,No,,4743586.977099999785423,655361.982900000177324,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
36,201009211412.000000000000000,Pleurobema sintoxia,,No,No,Weathered Dead,,,,,,,,,,4743586.977099999785423,655361.982900000177324,Quantitative,0,0,,,0,0,0,0,0,Pleurobemini
37,201009211412.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743586.977099999785423,655361.982900000177324,Quantitative,0,0,,,0,1,0,0,0,Amblemini
38,201009211412.000000000000000,Lampsilis siliquoidea,,No,No,Sub-Fossil,,,,,,,,,,4743586.977099999785423,655361.982900000177324,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
39,201009211412.000000000000000,Potamilus alatus,,No,No,Weathered Dead,,,,,,,,,,4743586.977099999785423,655361.982900000177324,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
40,201009211412.000000000000000,Lampsilis cardium,,No,No,Weathered Dead,,,,,,,,,,4743586.977099999785423,655361.982900000177324,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
41,201009211422.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743606.022399999201298,655358.009499999694526,Quantitative,0,0,,,0,1,0,0,0,Amblemini
42,201009211423.000000000000000,Quadrula metanevra,,No,No,Sub-Fossil,,,,,,,,,,4743627.987600000575185,655332.980399999767542,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
43,201009211424.000000000000000,Amblema plicata,,No,No,Sub-Fossil,,,,,,,,,,4743619.984699999913573,655322.984000000171363,Quantitative,0,0,,,0,1,0,0,0,Amblemini
44,201009211424.000000000000000,Fusconaia ebena,,No,No,Sub-Fossil,,,,,,,,,,4743619.984699999913573,655322.984000000171363,Quantitative,0,0,,,1,0,0,0,0,Pleurobemini
45,201009211424.000000000000000,Lampsilis siliquoidea,,No,No,Sub-Fossil,,,,,,,,,,4743619.984699999913573,655322.984000000171363,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
46,201009221403.000000000000000,Amblema plicata,,No,No,Live,,,10,78,,,,No,,4743647.979399999603629,655360.015999999828637,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
